Slice selected : 0, Color percentage: 42.91 
  Slice selected : 1, Color percentage: 43.83 
  Slice selected : 2, Color percentage: 44.00 
  Slice selected : 3, Color percentage: 43.88 
  Slice selected : 4, Color percentage: 44.14 
  Slice selected : 5, Color percentage: 44.37 
  Slice selected : 6, Color percentage: 44.52 
  Slice selected : 7, Color percentage: 44.63 
  Slice selected : 8, Color percentage: 44.60 
  Slice selected : 9, Color percentage: 44.54 
  Slice selected : 10, Color percentage: 40.93 
  Slice selected : 11, Color percentage: 40.26 
  Slice selected : 12, Color percentage: 38.55 
  Slice selected : 13, Color percentage: 36.78 
  Slice selected : 14, Color percentage: 37.04 
  Slice selected : 15, Color percentage: 38.72 
  Slice selected : 16, Color percentage: 40.49 
  Slice selected : 17, Color percentage: 42.18 
  Slice selected : 18, Color percentage: 43.24 
  Slice selected : 19, Color percentage: 43.94 
  Slice selected : 20, Color percentage: 35.71 
  Slice selected : 21, Color percentage: 35.15 
  Slice selected : 22, Color percentage: 34.70 
  Slice selected : 23, Color percentage: 35.06 
  Slice selected : 24, Color percentage: 27.24 
  Slice selected : 26, Color percentage: 27.41 
  Slice selected : 27, Color percentage: 32.63 
  Slice selected : 28, Color percentage: 35.09 
  Slice selected : 29, Color percentage: 37.66 
  Slice selected : 30, Color percentage: 23.37 
  Slice selected : 31, Color percentage: 27.13 
  Slice selected : 32, Color percentage: 29.15 
  Slice selected : 33, Color percentage: 27.99 
  Slice selected : 34, Color percentage: 26.34 
  Slice selected : 36, Color percentage: 31.06 
  Slice selected : 39, Color percentage: 30.60 
  Slice selected : 42, Color percentage: 32.32 
  Slice selected : 43, Color percentage: 27.31 
  Slice selected : 45, Color percentage: 24.15 
  Slice selected : 46, Color percentage: 28.70 
  Slice selected : 48, Color percentage: 33.16 
  Slice selected : 49, Color percentage: 37.65 
  Slice selected : 54, Color percentage: 28.04 
  Slice selected : 60, Color percentage: 35.37 
  Slice selected : 61, Color percentage: 38.39 
  Slice selected : 62, Color percentage: 30.55 
  Slice selected : 63, Color percentage: 29.82 
  Slice selected : 64, Color percentage: 33.67 
  Slice selected : 65, Color percentage: 30.28 
  Slice selected : 66, Color percentage: 36.13 
  Slice selected : 67, Color percentage: 36.71 
  Slice selected : 70, Color percentage: 36.25 
  Slice selected : 71, Color percentage: 39.95 
  Slice selected : 72, Color percentage: 38.64 
  Slice selected : 79, Color percentage: 30.68 
  Slice selected : 80, Color percentage: 39.54 
  Slice selected : 81, Color percentage: 38.96 
  Slice selected : 82, Color percentage: 40.61 
  Slice selected : 84, Color percentage: 34.39 
  Slice selected : 85, Color percentage: 32.11 
  Slice selected : 86, Color percentage: 32.53 
  Slice selected : 87, Color percentage: 33.19 
  Slice selected : 88, Color percentage: 36.02 
  Slice selected : 89, Color percentage: 35.79 
  Slice selected : 91, Color percentage: 26.74 
  Slice selected : 92, Color percentage: 41.68 
  Slice selected : 93, Color percentage: 41.72 
  Slice selected : 94, Color percentage: 25.72 
  Slice selected : 96, Color percentage: 26.94 
  Slice selected : 97, Color percentage: 26.41 
  Slice selected : 98, Color percentage: 27.50 
  Slice selected : 99, Color percentage: 28.32 
  
